REMOVE,BBS_NAME,CODES,CN,EN,SN
,家麻雀,"HOSP,PADO",家麻雀,House Sparrow,Passer domesticus
,山麻雀,"RUSP,PACI",山麻雀,Russet Sparrow,Passer cinnamomeus
,麻雀,"ETSP,PAMO",麻雀,Eurasian Tree Sparrow,Passer montanus
,麻雀屬,,麻雀屬,Passer sp.,Passer sp.
,山鶺鴒,"FOWA,DEIN",山鶺鴒,Forest Wagtail,Dendronanthus indicus
,灰鶺鴒,"GRAW,GRWA,MOCI",灰鶺鴒,Gray Wagtail,Motacilla cinerea
,西方黃鶺鴒,"WYWA,MOFL",西方黃鶺鴒,Western Yellow Wagtail,Motacilla flava
X,西方黃鶺鴒(灰頭),"WYWA,MOFL",西方黃鶺鴒(灰頭),Western Yellow Wagtail (thunbergi),Motacilla flava thunbergi
,東方黃鶺鴒,"EYWA,MOTS",東方黃鶺鴒,Eastern Yellow Wagtail,Motacilla tschutschensis
X,東方黃鶺鴒(白眉),"EYWA,MOTS",東方黃鶺鴒(白眉),Eastern Yellow Wagtail (Eastern),Motacilla tschutschensis tschutschensis/plexa
X,東方黃鶺鴒(黃眉),"EYWA,MOTS",東方黃鶺鴒(黃眉),Eastern Yellow Wagtail (Green-headed),Motacilla tschutschensis taivana
X,東方黃鶺鴒(藍頭),"EYWA,MOTS",東方黃鶺鴒(藍頭),Eastern Yellow Wagtail (Manchurian),Motacilla tschutschensis macronyx
,黃頭鶺鴒,"CIWA,MOCI",黃頭鶺鴒,Citrine Wagtail,Motacilla citreola
,日本鶺鴒,"JAWA,MOGR",日本鶺鴒,Japanese Wagtail,Motacilla grandis
,白鶺鴒,"WHWA,PWWA,MOAL",白鶺鴒,White Wagtail,Motacilla alba
X,白鶺鴒(灰背眼紋),"PWWA,WHWA,MOAL",白鶺鴒(灰背眼紋),White Wagtail (ocularis),Motacilla alba ocularis
X,白鶺鴒(黑背眼紋),"PWWA,WHWA,MOAL",白鶺鴒(黑背眼紋),White Wagtail (Black-backed),Motacilla alba lugens
,白鶺鴒(白面),"PWWA,WHWA,MOAL",白鶺鴒(白面),White Wagtail (Chinese),Motacilla alba leucopsis
,鶺鴒屬(XX鶺鴒),,鶺鴒屬,wagtail sp.,Motacilla sp.
,大花鷚,"RIPI,ANRI",大花鷚,Richard's Pipit,Anthus richardi
,田鷚,"PAPI,ANRU",田鷚,Paddyfield Pipit,Anthus rufulus
,布萊氏鷚,"BLPI,ANGO",布萊氏鷚,Blyth's Pipit,Anthus godlewskii
,草地鷚,"MEPI,ANPR",草地鷚,Meadow Pipit,Anthus pratensis
,林鷚,"TRPI,ANTR",林鷚,Tree Pipit,Anthus trivialis
,樹鷚,"OBPI,ANHO",樹鷚,Olive-backed Pipit,Anthus hodgsoni
X,林/樹鷚,"OBPI,TRPI,ANTR,ANHO",林/樹鷚,Tree/Olive-backed Pipit,Anthus trivialis/hodgsoni
,白背鷚,"PEPI,ANGU",白背鷚,Pechora Pipit,Anthus gustavi
,赤喉鷚,"RTPI,ANCE",赤喉鷚,Red-throated Pipit,Anthus cervinus
,水鷚,"WAPI,ANSP",水鷚,Water Pipit,Anthus spinoletta
,黃腹鷚,"AMPI,BBPI,ANRU",黃腹鷚,American Pipit,Anthus rubescens
,鷚屬(XX鷚),,鷚屬,pipit sp.,Anthus sp.
,花雀,"BRAM,FRMO",花雀,Brambling,Fringilla montifringilla
,臘嘴雀,"HAWF,COCO",臘嘴雀,Hawfinch,Coccothraustes coccothraustes
,小桑鳲,"YBGR,CHGR,EOMI",小桑鳲,Yellow-billed Grosbeak,Eophona migratoria
,桑鳲,"JAGR,EOPE",桑鳲,Japanese Grosbeak,Eophona personata
,普通朱雀,"CORO,CAER",普通朱雀,Common Rosefinch,Carpodacus erythrinus
,台灣朱雀,"TARO,CAFO",台灣朱雀,Taiwan Rosefinch,Carpodacus formosanus
,褐鷽,"BRBU,PYNI",褐鷽,Brown Bullfinch,Pyrrhula nipalensis
,灰鷽,"GHBU,PYER",灰鷽,Gray-headed Bullfinch,Pyrrhula erythaca
X,褐鷽/灰鷽,"BRBU,GHBU,PYNI,PYER",褐鷽/灰鷽,Brown/Gray-headed Bullfinch,Pyrrhula nipalensis/erythaca
,金翅雀,"ORGR,GCGR,CHSI",金翅雀,Oriental Greenfinch,Chloris sinica
,黃額絲雀,"YFCA,CRMO",黃額絲雀,Yellow-fronted Canary,Crithagra mozambica
,普通朱頂雀,"CORE,ACFL",普通朱頂雀,Common Redpoll,Acanthis flammea
,黃雀,"EUSI,SPSP",黃雀,Eurasian Siskin,Spinus spinus
,雀科,,雀科,finch sp.,Fringillidae sp.
,鐵爪鵐,"LALO,LABU,CALA",鐵爪鵐,Lapland Longspur,Calcarius lapponicus
,冠鵐,"CRBU,EMLA",冠鵐,Crested Bunting,Emberiza lathami
,黑頭鵐,"BHBU,EMME",黑頭鵐,Black-headed Bunting,Emberiza melanocephala
,褐頭鵐,"RHBU,EMBR",褐頭鵐,Red-headed Bunting,Emberiza bruniceps
X,黑頭/褐頭鵐,"BHBU,RHBU,EMBR,EMME",黑頭/褐頭鵐,Black-headed/Red-headed Bunting,Emberiza melanocephala/bruniceps
,赤胸鵐,"CEBU,EMFU",赤胸鵐,Chestnut-eared Bunting,Emberiza fucata
,草鵐,"MEBU,EMCI",草鵐,Meadow Bunting,Emberiza cioides
,白頭鵐,"PIBU,EMLE",白頭鵐,Pine Bunting,Emberiza leucocephalos
,黃喉鵐,"YTBU,EMEL",黃喉鵐,Yellow-throated Bunting,Emberiza elegans
,紅頸葦鵐,"JRBU,ORBU,EMYE",紅頸葦鵐,Ochre-rumped Bunting,Emberiza yessoensis
,葦鵐,"PALB,PRBU,PABU,EMPA",葦鵐,Pallas's Bunting,Emberiza pallasi
,蘆鵐,"REBU,CRBU,EMSC",蘆鵐,Reed Bunting,Emberiza schoeniclus
,金鵐,"YBSB,YBBU,EMAU",金鵐,Yellow-breasted Bunting,Emberiza aureola
,小鵐,"LIBU,EMPU",小鵐,Little Bunting,Emberiza pusilla
,田鵐,"RUBU,EMRU",田鵐,Rustic Bunting,Emberiza rustica
,野鵐,"YEBU,EMSU",野鵐,Yellow Bunting,Emberiza sulphurata
,黑臉鵐,"BFBU,EMSP",黑臉鵐,Black-faced Bunting,Emberiza spodocephala
,銹鵐,"CHBU,EMRU",銹鵐,Chestnut Bunting,Emberiza rutila
,黃眉鵐,"YBWB,YBBU,EMCH",黃眉鵐,Yellow-browed Bunting,Emberiza chrysophrys
,白眉鵐,"TRBU,EMTR",白眉鵐,Tristram's Bunting,Emberiza tristrami
,灰鵐,"GRBU,EMVA",灰鵐,Gray Bunting,Emberiza variabilis
,鵐屬(XX鵐),,鵐屬,Emberiza sp.,Emberiza sp.
,紅冠唐納雀,"RCCA,PACO",紅冠唐納雀,Red-crested Cardinal,Paroaria coronata
,雀形目,,雀形目,passerine sp.,Passeriformes sp.
,鳥類,UNBI,鳥類,bird sp.,Aves sp.
,台灣獼猴,MK,,,
,臺灣獼猴,MK,,,
,小型鴴類,,小型鴴類,small plover sp.,Charadrius sp.
,其他,"ETC,OTHER",其他,,
